schema_version,protocol_id,analysis_id,claim_boundary,diagnostic_only,v1_2_label,formal_eligible,threshold_freeze_eligible,source_dataset,source_order,sample_id,family,mutation_class,control_type,source_descriptor,model,baseline,source_pose_sha256,v1_2_metrics_row_sha256,legacy_occlusion_relpath,legacy_occlusion_sha256,legacy_classification_relpath,legacy_classification_sha256,legacy_hotspot_overlap_count,v1_2_hotspot_overlap_count,hotspot_overlap_delta,legacy_inclusive_total_atom_contacts,v1_2_atom_only_total_atom_contacts,delta_total_atom_contacts,ratio_new_over_old_total_atom_contacts,percent_change_total_atom_contacts,legacy_inclusive_total_residue_pairs,v1_2_atom_only_total_residue_pairs,delta_total_residue_pairs,ratio_new_over_old_total_residue_pairs,percent_change_total_residue_pairs,legacy_inclusive_cdr3_atom_contacts,v1_2_atom_only_cdr3_atom_contacts,delta_cdr3_atom_contacts,ratio_new_over_old_cdr3_atom_contacts,percent_change_cdr3_atom_contacts,legacy_inclusive_cdr3_residue_pairs,v1_2_atom_only_cdr3_residue_pairs,delta_cdr3_residue_pairs,ratio_new_over_old_cdr3_residue_pairs,percent_change_cdr3_residue_pairs,legacy_inclusive_cdr3_atom_fraction,v1_2_atom_only_cdr3_atom_fraction,delta_cdr3_atom_fraction,ratio_new_over_old_cdr3_atom_fraction,percent_change_cdr3_atom_fraction,legacy_inclusive_cdr3_residue_pair_fraction,v1_2_atom_only_cdr3_residue_pair_fraction,delta_cdr3_residue_pair_fraction,ratio_new_over_old_cdr3_residue_pair_fraction,percent_change_cdr3_residue_pair_fraction,reference_protein_atom_heavy_atom_count,reference_excluded_hetatm_heavy_atom_count,reference_excluded_hoh_heavy_atom_count,reference_excluded_edo_heavy_atom_count,legacy_v1_1_class,v1_2_metrics_old_rule_diagnostic_class,old_rule_diagnostic_transition,old_rule_class_changed,delta_row_sha256
pvrig_v1_2_final_pose_sensitivity_delta_v1,DG_A_PVRIG_V1_2_DEV,V1_2_ATOM_ONLY_FINAL_POSE_SENSITIVITY_DELTA_V1,"Development sensitivity diagnostic on legacy variable-size final poses only; OLD V1.1 rule transitions are not V1.2 labels, not threshold-fitting evidence, not formal Docking Gold, and not experimental binding or blocking truth.",true,false,false,false,known_positive_calibration,1,case02_pos_01_PVRIG-151_HR151,151,known_positive_calibration,known_positive_calibration,original_camel_vhh_official_hr151,cluster_1_model_1,8x6b,91f1639b9b0c9367217fd1e125ca08d03068741db3ec5754cc349b7ca316969a,648e30e2043652738d7a7f2d92e2a516bb7598ff33a0814ac16ec9cc624e222f,docking/calibration/patent_success_validation/case02_pos_01_PVRIG-151_HR151/reports/8x6b_baseline/cdr3_occlusion_summary_8x6b.csv,76080e7744cf3000148dc2b7125b2c5ddd10c3eae88f11f3b5d10dd2645f3af7,docking/calibration/patent_success_validation/case02_pos_01_PVRIG-151_HR151/reports/case02_pos_01_PVRIG-151_HR151_8x6b_blocker_classification.csv,025f5b0b62590943edc6924224a4bb105bb5855e997f38d55d3c88e8b4dc27d3,15,15,0,9847,9271,-576,0.94150502691174975,-5.8494973088250246,875,704,-171,0.8045714285714286,-19.542857142857141,2300,2198,-102,0.95565217391304347,-4.4347826086956532,197,166,-31,0.84263959390862941,-15.736040609137058,0.23357367726211029,0.2370833782763456,0.0035097010142353113,1.0150260982118153,1.5026098211815331,0.22514285714285714,0.23579545454545456,0.010652597402597414,1.0473148361790494,4.7314836179049413,963,58,58,0,BLOCKER_LIKE_A,BLOCKER_LIKE_A,BLOCKER_LIKE_A->BLOCKER_LIKE_A,false,87dce4f48cf4794596b68645067d62aad2e8db4554aa51c200efd6cfb01dd2c6
pvrig_v1_2_final_pose_sensitivity_delta_v1,DG_A_PVRIG_V1_2_DEV,V1_2_ATOM_ONLY_FINAL_POSE_SENSITIVITY_DELTA_V1,"Development sensitivity diagnostic on legacy variable-size final poses only; OLD V1.1 rule transitions are not V1.2 labels, not threshold-fitting evidence, not formal Docking Gold, and not experimental binding or blocking truth.",true,false,false,false,known_positive_calibration,1,case02_pos_01_PVRIG-151_HR151,151,known_positive_calibration,known_positive_calibration,original_camel_vhh_official_hr151,cluster_1_model_1,9e6y,f611bbddca85289714eca176e087c6c861119e269cd78c2741ce14798e55612b,ebe879c07678dbd6a35686ebd93fee93b1c6e8690ff6b0e67819cff7a13ccf17,docking/calibration/patent_success_validation/case02_pos_01_PVRIG-151_HR151/reports/9e6y_baseline/cdr3_occlusion_summary_9e6y.csv,3c0ad36105124f0da1e7617d8a3bf1fac235933906e711a3135d704c04f7bffd,docking/calibration/patent_success_validation/case02_pos_01_PVRIG-151_HR151/reports/case02_pos_01_PVRIG-151_HR151_9e6y_blocker_classification.csv,697c86c5ed08f9c9883fee159b95a763805b52f5c1a2a5ab18e6b1e9bb2dd509,10,10,0,10364,9537,-827,0.92020455422616754,-7.9795445773832459,926,706,-220,0.76241900647948169,-23.758099352051833,2387,2258,-129,0.94595726853791373,-5.4042731462086273,193,166,-27,0.86010362694300513,-13.989637305699487,0.23031648012350445,0.23676208451294956,0.0064456043894451087,1.0279858583545074,2.7985858354507398,0.20842332613390929,0.23512747875354106,0.026704152619631771,1.1281245871802021,12.812458718020213,1002,84,60,24,BLOCKER_PLAUSIBLE_B,BLOCKER_PLAUSIBLE_B,BLOCKER_PLAUSIBLE_B->BLOCKER_PLAUSIBLE_B,false,ef6f8ebfe37a9eb365f81bda2e517080fe41e1c695693a6faa4de1729e382e45
pvrig_v1_2_final_pose_sensitivity_delta_v1,DG_A_PVRIG_V1_2_DEV,V1_2_ATOM_ONLY_FINAL_POSE_SENSITIVITY_DELTA_V1,"Development sensitivity diagnostic on legacy variable-size final poses only; OLD V1.1 rule transitions are not V1.2 labels, not threshold-fitting evidence, not formal Docking Gold, and not experimental binding or blocking truth.",true,false,false,false,known_positive_calibration,1,case02_pos_01_PVRIG-151_HR151,151,known_positive_calibration,known_positive_calibration,original_camel_vhh_official_hr151,cluster_2_model_1,8x6b,0e58d5be3d514af4174cfb1420e866154bc24ed50a5f238dfd148fcc0472d6d6,a8f86e82f242b8ca9f0e79afc82801ab50b2f009caac67d29decd679c88a488b,docking/calibration/patent_success_validation/case02_pos_01_PVRIG-151_HR151/reports/8x6b_baseline/cdr3_occlusion_summary_8x6b.csv,76080e7744cf3000148dc2b7125b2c5ddd10c3eae88f11f3b5d10dd2645f3af7,docking/calibration/patent_success_validation/case02_pos_01_PVRIG-151_HR151/reports/case02_pos_01_PVRIG-151_HR151_8x6b_blocker_classification.csv,025f5b0b62590943edc6924224a4bb105bb5855e997f38d55d3c88e8b4dc27d3,20,20,0,8703,8187,-516,0.94071009996552912,-5.9289900034470877,779,625,-154,0.80231065468549423,-19.768934531450576,2144,2038,-106,0.95055970149253732,-4.9440298507462677,195,158,-37,0.81025641025641026,-18.974358974358974,0.24635183270136735,0.24893123244167584,0.0025793997403084912,1.0104703898973437,1.0470389897343724,0.25032092426187419,0.25280000000000002,0.0024790757381258355,1.00990358974359,0.99035897435899578,963,58,58,0,BLOCKER_LIKE_A,BLOCKER_LIKE_A,BLOCKER_LIKE_A->BLOCKER_LIKE_A,false,bcb3aab1bda9e8da8ad2348a74fd358f3bbd760265f560100b3749028296dcc8
pvrig_v1_2_final_pose_sensitivity_delta_v1,DG_A_PVRIG_V1_2_DEV,V1_2_ATOM_ONLY_FINAL_POSE_SENSITIVITY_DELTA_V1,"Development sensitivity diagnostic on legacy variable-size final poses only; OLD V1.1 rule transitions are not V1.2 labels, not threshold-fitting evidence, not formal Docking Gold, and not experimental binding or blocking truth.",true,false,false,false,known_positive_calibration,1,case02_pos_01_PVRIG-151_HR151,151,known_positive_calibration,known_positive_calibration,original_camel_vhh_official_hr151,cluster_2_model_1,9e6y,3e4629905fdbd851f8fe510d144bca01ee309771c86c138f087b3ec8209a0072,fff13eed71505950461b618fa1b4fe500b824500b985aee1740b1738a4568555,docking/calibration/patent_success_validation/case02_pos_01_PVRIG-151_HR151/reports/9e6y_baseline/cdr3_occlusion_summary_9e6y.csv,3c0ad36105124f0da1e7617d8a3bf1fac235933906e711a3135d704c04f7bffd,docking/calibration/patent_success_validation/case02_pos_01_PVRIG-151_HR151/reports/case02_pos_01_PVRIG-151_HR151_9e6y_blocker_classification.csv,697c86c5ed08f9c9883fee159b95a763805b52f5c1a2a5ab18e6b1e9bb2dd509,13,13,0,9102,8392,-710,0.92199516589760488,-7.8004834102395115,803,623,-180,0.77584059775840597,-22.415940224159403,2300,2133,-167,0.92739130434782613,-7.2608695652173871,186,156,-30,0.83870967741935487,-16.129032258064512,0.25269171610635027,0.25417063870352719,0.0014789225971769127,1.0058526754258714,0.58526754258714231,0.23163138231631383,0.2504012841091493,0.018769901792835469,1.0810335007507896,8.1033500750789642,1002,84,60,24,BLOCKER_PLAUSIBLE_B,BLOCKER_PLAUSIBLE_B,BLOCKER_PLAUSIBLE_B->BLOCKER_PLAUSIBLE_B,false,75891b858d0a928418accd7ac5ed18a6416e51f50ff3f5687b746317ea4bc140
pvrig_v1_2_final_pose_sensitivity_delta_v1,DG_A_PVRIG_V1_2_DEV,V1_2_ATOM_ONLY_FINAL_POSE_SENSITIVITY_DELTA_V1,"Development sensitivity diagnostic on legacy variable-size final poses only; OLD V1.1 rule transitions are not V1.2 labels, not threshold-fitting evidence, not formal Docking Gold, and not experimental binding or blocking truth.",true,false,false,false,known_positive_calibration,1,case02_pos_01_PVRIG-151_HR151,151,known_positive_calibration,known_positive_calibration,original_camel_vhh_official_hr151,cluster_2_model_2,8x6b,44202a928c7a192d031b7317c3a9b5977f37ff4c71111857701365b536f450ae,9b07d80cbea5013ef65e1845d65bdd8caf6aaad907b39c81cd39c982582e758c,docking/calibration/patent_success_validation/case02_pos_01_PVRIG-151_HR151/reports/8x6b_baseline/cdr3_occlusion_summary_8x6b.csv,76080e7744cf3000148dc2b7125b2c5ddd10c3eae88f11f3b5d10dd2645f3af7,docking/calibration/patent_success_validation/case02_pos_01_PVRIG-151_HR151/reports/case02_pos_01_PVRIG-151_HR151_8x6b_blocker_classification.csv,025f5b0b62590943edc6924224a4bb105bb5855e997f38d55d3c88e8b4dc27d3,19,19,0,8831,8268,-563,0.93624731061034994,-6.3752689389650063,811,650,-161,0.8014796547472256,-19.852034525277439,2185,2072,-113,0.94828375286041189,-5.1716247139588116,211,173,-38,0.81990521327014221,-18.009478672985779,0.24742384780885518,0.25060474117077891,0.0031808933619237312,1.0128560500133403,1.2856050013340337,0.26017262638717631,0.26615384615384613,0.0059812197666698208,1.0229894276339773,2.2989427633977266,963,58,58,0,BLOCKER_LIKE_A,BLOCKER_LIKE_A,BLOCKER_LIKE_A->BLOCKER_LIKE_A,false,edcfe01804da33b1f4e27f92d511557ec5fcb6a04327bf969a380f85d652d4e5
pvrig_v1_2_final_pose_sensitivity_delta_v1,DG_A_PVRIG_V1_2_DEV,V1_2_ATOM_ONLY_FINAL_POSE_SENSITIVITY_DELTA_V1,"Development sensitivity diagnostic on legacy variable-size final poses only; OLD V1.1 rule transitions are not V1.2 labels, not threshold-fitting evidence, not formal Docking Gold, and not experimental binding or blocking truth.",true,false,false,false,known_positive_calibration,1,case02_pos_01_PVRIG-151_HR151,151,known_positive_calibration,known_positive_calibration,original_camel_vhh_official_hr151,cluster_2_model_2,9e6y,05687a872a3aed6e92dbed0b1563c65b762fc9bbf9d02bcf87ccb687aea13e7d,7cdbab90df8c4aeb0cb79055597a64ff9fffc2134abe7dc471bcd408e9b1080c,docking/calibration/patent_success_validation/case02_pos_01_PVRIG-151_HR151/reports/9e6y_baseline/cdr3_occlusion_summary_9e6y.csv,3c0ad36105124f0da1e7617d8a3bf1fac235933906e711a3135d704c04f7bffd,docking/calibration/patent_success_validation/case02_pos_01_PVRIG-151_HR151/reports/case02_pos_01_PVRIG-151_HR151_9e6y_blocker_classification.csv,697c86c5ed08f9c9883fee159b95a763805b52f5c1a2a5ab18e6b1e9bb2dd509,12,12,0,9141,8418,-723,0.92090580899245156,-7.9094191007548442,834,645,-189,0.77338129496402874,-22.661870503597125,2329,2149,-180,0.92271361099184201,-7.728638900815799,199,169,-30,0.84924623115577891,-15.075376884422109,0.25478612843233783,0.25528629128058922,0.00050016284825138424,1.0019630693842276,0.19630693842276337,0.23860911270983212,0.262015503875969,0.023406391166136881,1.0980951267967747,9.8095126796774679,1002,84,60,24,BLOCKER_PLAUSIBLE_B,BLOCKER_PLAUSIBLE_B,BLOCKER_PLAUSIBLE_B->BLOCKER_PLAUSIBLE_B,false,3a29a3f4791a0704e40762c0e0f583b7b0598d212eb3c215e6a0b4131830fc18
pvrig_v1_2_final_pose_sensitivity_delta_v1,DG_A_PVRIG_V1_2_DEV,V1_2_ATOM_ONLY_FINAL_POSE_SENSITIVITY_DELTA_V1,"Development sensitivity diagnostic on legacy variable-size final poses only; OLD V1.1 rule transitions are not V1.2 labels, not threshold-fitting evidence, not formal Docking Gold, and not experimental binding or blocking truth.",true,false,false,false,known_positive_calibration,1,case02_pos_01_PVRIG-151_HR151,151,known_positive_calibration,known_positive_calibration,original_camel_vhh_official_hr151,cluster_2_model_3,8x6b,880d394446af41d6ac1fb25d877c68efce26c43f05b8fd83f14748843b91fb97,7bf5bff08479753b57f2121733a9b5edf5fc2eea760ff91ca68172d78c265a94,docking/calibration/patent_success_validation/case02_pos_01_PVRIG-151_HR151/reports/8x6b_baseline/cdr3_occlusion_summary_8x6b.csv,76080e7744cf3000148dc2b7125b2c5ddd10c3eae88f11f3b5d10dd2645f3af7,docking/calibration/patent_success_validation/case02_pos_01_PVRIG-151_HR151/reports/case02_pos_01_PVRIG-151_HR151_8x6b_blocker_classification.csv,025f5b0b62590943edc6924224a4bb105bb5855e997f38d55d3c88e8b4dc27d3,19,19,0,8412,7865,-547,0.93497384688540186,-6.502615311459814,767,610,-157,0.79530638852672753,-20.469361147327248,2161,2048,-113,0.94770939379916708,-5.2290606200832919,199,161,-38,0.80904522613065322,-19.095477386934679,0.25689491203043274,0.26039415130324223,0.0034992392728094845,1.0136212867944809,1.3621286794480936,0.25945241199478486,0.26393442622950819,0.0044820142347233305,1.017274899085592,1.7274899085591988,963,58,58,0,BLOCKER_LIKE_A,BLOCKER_LIKE_A,BLOCKER_LIKE_A->BLOCKER_LIKE_A,false,2f7c9b27497d1d3bc8c83542559c19851fd8bbc77a3c1a31ab58fa152b08e8ab
pvrig_v1_2_final_pose_sensitivity_delta_v1,DG_A_PVRIG_V1_2_DEV,V1_2_ATOM_ONLY_FINAL_POSE_SENSITIVITY_DELTA_V1,"Development sensitivity diagnostic on legacy variable-size final poses only; OLD V1.1 rule transitions are not V1.2 labels, not threshold-fitting evidence, not formal Docking Gold, and not experimental binding or blocking truth.",true,false,false,false,known_positive_calibration,1,case02_pos_01_PVRIG-151_HR151,151,known_positive_calibration,known_positive_calibration,original_camel_vhh_official_hr151,cluster_2_model_3,9e6y,9645d0b1b964f9633f4f39aa6f49e47b255c93b1fc7a911008ce49f0e10af117,08390690c58cbb741918247c5903d215388995bce93db48c66f01ac7d23daddb,docking/calibration/patent_success_validation/case02_pos_01_PVRIG-151_HR151/reports/9e6y_baseline/cdr3_occlusion_summary_9e6y.csv,3c0ad36105124f0da1e7617d8a3bf1fac235933906e711a3135d704c04f7bffd,docking/calibration/patent_success_validation/case02_pos_01_PVRIG-151_HR151/reports/case02_pos_01_PVRIG-151_HR151_9e6y_blocker_classification.csv,697c86c5ed08f9c9883fee159b95a763805b52f5c1a2a5ab18e6b1e9bb2dd509,11,11,0,8767,8045,-722,0.91764571689289376,-8.2354283107106241,780,606,-174,0.77692307692307694,-22.307692307692307,2322,2143,-179,0.9229112833763996,-7.7088716623600391,195,163,-32,0.83589743589743593,-16.410256410256409,0.26485684954944677,0.26637663144810442,0.0015197818986576461,1.0057381257129765,0.5738125712976494,0.25,0.26897689768976896,0.018976897689768957,1.0759075907590758,7.5907590759075827,1002,84,60,24,BLOCKER_PLAUSIBLE_B,BLOCKER_PLAUSIBLE_B,BLOCKER_PLAUSIBLE_B->BLOCKER_PLAUSIBLE_B,false,447e7a04367dccc85e8b5968ace4e8edc9a619a50d596eace4855be2e5f6f478
pvrig_v1_2_final_pose_sensitivity_delta_v1,DG_A_PVRIG_V1_2_DEV,V1_2_ATOM_ONLY_FINAL_POSE_SENSITIVITY_DELTA_V1,"Development sensitivity diagnostic on legacy variable-size final poses only; OLD V1.1 rule transitions are not V1.2 labels, not threshold-fitting evidence, not formal Docking Gold, and not experimental binding or blocking truth.",true,false,false,false,known_positive_calibration,1,case02_pos_01_PVRIG-151_HR151,151,known_positive_calibration,known_positive_calibration,original_camel_vhh_official_hr151,cluster_3_model_1,8x6b,a1463d6ee9d5780f69bfd241f85ce4b6fe751b0529dccd6b3fe2ee0ed6081e33,6e82c88b0f8e1bb487b3c084ddbac2517b528e62b571d6b5cc34b63b2a32d809,docking/calibration/patent_success_validation/case02_pos_01_PVRIG-151_HR151/reports/8x6b_baseline/cdr3_occlusion_summary_8x6b.csv,76080e7744cf3000148dc2b7125b2c5ddd10c3eae88f11f3b5d10dd2645f3af7,docking/calibration/patent_success_validation/case02_pos_01_PVRIG-151_HR151/reports/case02_pos_01_PVRIG-151_HR151_8x6b_blocker_classification.csv,025f5b0b62590943edc6924224a4bb105bb5855e997f38d55d3c88e8b4dc27d3,9,9,0,5765,5382,-383,0.93356461405030355,-6.6435385949696446,525,413,-112,0.78666666666666663,-21.333333333333336,1159,1102,-57,0.95081967213114749,-4.9180327868852514,101,85,-16,0.84158415841584155,-15.841584158415845,0.20104076322636599,0.20475659606094387,0.0037158328345778813,1.0184829821323049,1.8482982132304926,0.19238095238095237,0.20581113801452786,0.013430185633575481,1.0698103708675952,6.9810370867595228,963,58,58,0,BLOCKER_PLAUSIBLE_B,EVIDENCE_INFERENCE_ONLY_E,BLOCKER_PLAUSIBLE_B->EVIDENCE_INFERENCE_ONLY_E,true,d932cfb260191aff32704021b01354b6a7a7164c0584548f72c01afc1f183a7b
pvrig_v1_2_final_pose_sensitivity_delta_v1,DG_A_PVRIG_V1_2_DEV,V1_2_ATOM_ONLY_FINAL_POSE_SENSITIVITY_DELTA_V1,"Development sensitivity diagnostic on legacy variable-size final poses only; OLD V1.1 rule transitions are not V1.2 labels, not threshold-fitting evidence, not formal Docking Gold, and not experimental binding or blocking truth.",true,false,false,false,known_positive_calibration,1,case02_pos_01_PVRIG-151_HR151,151,known_positive_calibration,known_positive_calibration,original_camel_vhh_official_hr151,cluster_3_model_1,9e6y,6d415022677139fd27e7d32aa9091583be784c5fc98bafd36064d938389ada5d,21d32f5eb6f6953d53362cd7e9ab4dcd7ff89796faea500d8d6dff63bc70e902,docking/calibration/patent_success_validation/case02_pos_01_PVRIG-151_HR151/reports/9e6y_baseline/cdr3_occlusion_summary_9e6y.csv,3c0ad36105124f0da1e7617d8a3bf1fac235933906e711a3135d704c04f7bffd,docking/calibration/patent_success_validation/case02_pos_01_PVRIG-151_HR151/reports/case02_pos_01_PVRIG-151_HR151_9e6y_blocker_classification.csv,697c86c5ed08f9c9883fee159b95a763805b52f5c1a2a5ab18e6b1e9bb2dd509,10,10,0,6006,5497,-509,0.91525141525141529,-8.4748584748584719,533,428,-105,0.80300187617260788,-19.699812382739211,1273,1171,-102,0.91987431264728992,-8.0125687352710084,110,90,-20,0.81818181818181823,-18.181818181818176,0.21195471195471197,0.21302528651991995,0.0010705745652079823,1.005050959024854,0.50509590248539737,0.20637898686679174,0.2102803738317757,0.0039013869649839605,1.0189039932030586,1.8903993203058578,1002,84,60,24,BLOCKER_PLAUSIBLE_B,BLOCKER_PLAUSIBLE_B,BLOCKER_PLAUSIBLE_B->BLOCKER_PLAUSIBLE_B,false,03730dec8aca37d88843eb769e787ee02f2edc319bbed73d272f1ceaea83acb6
