candidate_id	model	consensus_class	baseline_count	baseline_classes	best_haddock_rank	blocker_like_count	plausible_count	binder_like_count	evidence_only_count	recommended_next_step
PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00	cluster_1_model_1	BLOCKER_PLAUSIBLE_B	2	8x6b:BLOCKER_PLAUSIBLE_B;9e6y:BLOCKER_PLAUSIBLE_B	1	0	2	0	0	keep as follow-up only; collect stronger occlusion or assay evidence
PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00	cluster_2_model_1	SINGLE_BASELINE_BLOCKER_RECHECK	2	8x6b:BLOCKER_LIKE_A;9e6y:BLOCKER_PLAUSIBLE_B	2	1	1	0	0	inspect weaker baseline and decide whether this is an alternative epitope or an unstable pose
PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00	cluster_2_model_2	BLOCKER_PLAUSIBLE_B	2	8x6b:BLOCKER_PLAUSIBLE_B;9e6y:BLOCKER_PLAUSIBLE_B	3	0	2	0	0	keep as follow-up only; collect stronger occlusion or assay evidence
PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn00	cluster_2_model_3	SINGLE_BASELINE_BLOCKER_RECHECK	2	8x6b:BLOCKER_LIKE_A;9e6y:BLOCKER_PLAUSIBLE_B	4	1	1	0	0	inspect weaker baseline and decide whether this is an alternative epitope or an unstable pose
PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn01	cluster_1_model_1	BLOCKER_PLAUSIBLE_B	2	8x6b:BLOCKER_PLAUSIBLE_B;9e6y:BLOCKER_PLAUSIBLE_B	1	0	2	0	0	keep as follow-up only; collect stronger occlusion or assay evidence
PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn01	cluster_1_model_2	BLOCKER_PLAUSIBLE_B	2	8x6b:BLOCKER_PLAUSIBLE_B;9e6y:BLOCKER_PLAUSIBLE_B	2	0	2	0	0	keep as follow-up only; collect stronger occlusion or assay evidence
PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn01	cluster_1_model_3	BLOCKER_PLAUSIBLE_B	2	8x6b:BLOCKER_PLAUSIBLE_B;9e6y:BLOCKER_PLAUSIBLE_B	8	0	2	0	0	keep as follow-up only; collect stronger occlusion or assay evidence
PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn01	cluster_2_model_1	BLOCKER_PLAUSIBLE_B	2	8x6b:BLOCKER_PLAUSIBLE_B;9e6y:BLOCKER_PLAUSIBLE_B	3	0	2	0	0	keep as follow-up only; collect stronger occlusion or assay evidence
PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn02	cluster_1_model_1	SINGLE_BASELINE_BLOCKER_RECHECK	2	8x6b:BLOCKER_LIKE_A;9e6y:BLOCKER_PLAUSIBLE_B	1	1	1	0	0	inspect weaker baseline and decide whether this is an alternative epitope or an unstable pose
PVRIG_RFAb_v2_P1_ekg_L_bb000_mpn02	cluster_1_model_2	BLOCKER_PLAUSIBLE_B	2	8x6b:BLOCKER_PLAUSIBLE_B;9e6y:BLOCKER_PLAUSIBLE_B	3	0	2	0	0	keep as follow-up only; collect stronger occlusion or assay evidence
