entity_id	own_dual_min_ordinal	rli_dual_min_ordinal	exact	both_supported_agree
V29_GEN__C0030__882F1C1AA13BAAEB	1	1	true	true
V29_GEN__C0054__0DCB74AD786044C4	2	2	true	true
V29_GEN__C0074__FE6BC49948D6B01D	1	1	true	true
V29_GEN__C0075__50C3C9D8144AFFDE	2	2	true	true
V29_GEN__C0090__794A6CF27EA7F167	2	2	true	true
V29_GEN__C0102__9FB77CF503099F40	0	1	false	false
V29_GEN__C0125__346B35D1239EDB61	0	1	false	false
V29_GEN__C0136__30ECCC94AD7CA6D8	2	1	false	true
V29_GEN__C0138__1ABD8B9BB9548166	1	2	false	true
V29_GEN__C0144__9357B6D48858CE4D	1	1	true	true
V29_GEN__C0147__7EDA683A7ACBA94E	0	0	true	true
V29_GEN__C0173__089286C7BD221A32	1	1	true	true
V29_GEN__C0183__141D4EEF8BC3BE7F	2	1	false	true
V29_GEN__C0183__8BCF307A1A175819	1	2	false	true
V29_GEN__C0299__779FAD4B26BEED8E	1	1	true	true
V29_GEN__C0348__18C6E5B1C9CD6BAD	2	2	true	true
V29_GEN__C0348__67842885D9CF6BA1	2	1	false	true
V29_RF__RFV1__PLDNANO_VHH_00010__C_CROSS__H3__B07__M00	0	1	false	false
V29_RF__RFV1__PLDNANO_VHH_00107__C_CROSS__H1H3__B10__M00	1	2	false	true
V29_RF__RFV1__PLDNANO_VHH_00197__C_CROSS__H1H3__B04__M01	2	1	false	true
V29_RF__RFV1__PLDNANO_VHH_00874__C_CROSS__H3__B05__M01	1	1	true	true
