schema_version	disagreement_direction	tail_rank	candidate_id	sequence_sha256	parent_framework_cluster	target_patch_id	design_mode	sequence_prediction	structure_prediction	sequence_rank	structure_rank	rank_delta_sequence_minus_structure	claim_boundary
phase2_v4_h_research1320_sequence_structure_comparison_v1	STRUCTURE_FAVORED	1	V4H__PLDNANO_VHH_00257__A_CENTER__H1H3__B00__M00	95458f11e7eff723554992da3353f88f689147e74caf2866965f31e8a8e8b277	C0176	A_CENTER	H1H3	0.537013533312	0.582406464034	997	131	866	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	STRUCTURE_FAVORED	2	V4H__PLDNANO_VHH_00257__B_LOWER__H3__B11__M02	cbd298c13b8ad9c6c7322b3a4b36797a3c69b63a648d219be75524689e8fd7a0	C0176	B_LOWER	H3	0.539346244404	0.585085433185	965	121	844	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	STRUCTURE_FAVORED	3	V4H__PLDNANO_VHH_00257__A_CENTER__H3__B05__M02	d36e50cefb2838e503cfcd9e8d32ce4d5bffc7fb10222428b43c040275e2b483	C0176	A_CENTER	H3	0.537422355628	0.57956825568	991	155	836	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	STRUCTURE_FAVORED	4	V4H__PLDNANO_VHH_00257__B_LOWER__H3__B11__M01	af9edfdd193fe9f1cbd9c7db9b977e672f140247d999900e3dba75cab8b845f7	C0176	B_LOWER	H3	0.539613151635	0.583340160064	961	126	835	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	STRUCTURE_FAVORED	5	V4H__PLDNANO_VHH_00257__A_CENTER__H3__B07__M00	d9c7e631ad3f1a6f1a3c06488dfa51e808e71f29fa3bdd93d04a7dc198279f37	C0176	A_CENTER	H3	0.541050642595	0.582017691343	935	135	800	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	STRUCTURE_FAVORED	6	V4H__PLDNANO_VHH_00257__B_LOWER__H1H3__B00__M01	8bf862ff16cfbf197086348d7cb3f3819a8bf917cdac10cd28e6c9a629a2b4ef	C0176	B_LOWER	H1H3	0.540114494265	0.579860443132	951	152	799	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	STRUCTURE_FAVORED	7	V4H__PLDNANO_VHH_00257__C_CROSS__H1H3__B04__M02	7ebe0232a232ba106ab0fcab493f8e106acf74e94a38df552bb40db2d62e935e	C0176	C_CROSS	H1H3	0.535914690877	0.57630567984	1014	229	785	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	STRUCTURE_FAVORED	8	V4H__PLDNANO_VHH_00257__C_CROSS__H3__B07__M00	ae0459a43cd5231852e274ca2c5931e3574e446bd7e9aec5af720a3317e7b6d2	C0176	C_CROSS	H3	0.542189251189	0.581741968774	915	137	778	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	STRUCTURE_FAVORED	9	V4H__PLDNANO_VHH_00257__B_LOWER__H1H3__B00__M02	a421af5ad5fddf5c212ac273989e6b4f8a329202d07a7ef95ddd3640873124d2	C0176	B_LOWER	H1H3	0.541664693747	0.580144163605	923	149	774	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	STRUCTURE_FAVORED	10	V4H__PLDNANO_VHH_00257__A_CENTER__H1H3__B05__M01	2c674e742c4c4cc73e8311fb64ede3ac1d8f40b5fa72328868bff6a58bc40955	C0176	A_CENTER	H1H3	0.542314116196	0.581301891833	913	142	771	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
