job_id	entity_id	conformation	seed	job_hash_equal	own_pair_label	rli_pair_label	pair_label_equal	own_native_class	rli_native_class	own_cross_class	rli_cross_class	own_selected_models	rli_selected_models	own_haddock_score	rli_haddock_score	haddock_delta_own_minus_rli	own_consensus_fraction	rli_consensus_fraction
CANDIDATE_V29_GEN__C0001__0604783E89058161_9e6y_s917_0e6e00b5a98c	V29_GEN__C0001__0604783E89058161	9e6y	917	true	OTHER	OTHER	true	E	E	E	E	10	10	-75.09329999999999	-82.76592000000001	7.672620000000023	0.4	0.5
CANDIDATE_V29_GEN__C0001__269B6F8CD68F742A_8x6b_s917_17b83d9156fd	V29_GEN__C0001__269B6F8CD68F742A	8x6b	917	true	STRICT_A	STRICT_A	true	A	A	A	A	10	10	-58.04362	-54.90082999999999	-3.142790000000005	0.6	0.7
CANDIDATE_V29_GEN__C0001__2C1317F5D5743358_9e6y_s917_1b04d75e7589	V29_GEN__C0001__2C1317F5D5743358	9e6y	917	true	OTHER	SUPPORTED_AB	false	E	B	E	B	10	10	-65.30646	-69.76929999999999	4.462839999999986	0.4	0.6
CANDIDATE_V29_GEN__C0001__8F523EB00420ADD0_9e6y_s917_0d1d5ebba507	V29_GEN__C0001__8F523EB00420ADD0	9e6y	917	true	STRICT_A	STRICT_A	true	A	A	A	A	8	10	-80.51976000000002	-82.25816	1.7383999999999844	0.5	0.6
CANDIDATE_V29_GEN__C0001__AAAD0F4238F71BF7_8x6b_s917_0b3cb32b16f7	V29_GEN__C0001__AAAD0F4238F71BF7	8x6b	917	true	SUPPORTED_AB	SUPPORTED_AB	true	B	B	B	B	10	10	-78.11342	-79.45277999999999	1.339359999999985	0.6	0.6
CANDIDATE_V29_GEN__C0007__0F43BFB5BB3D8355_8x6b_s917_0dbad696c3ba	V29_GEN__C0007__0F43BFB5BB3D8355	8x6b	917	true	OTHER	STRICT_A	false	E	A	E	A	10	10	-102.67305	-108.4594	5.786349999999999	0.7	0.8
CANDIDATE_V29_GEN__C0007__10A0AA27DE45D98D_8x6b_s917_1358d12cdf7f	V29_GEN__C0007__10A0AA27DE45D98D	8x6b	917	true	SUPPORTED_AB	SUPPORTED_AB	true	B	A	B	B	5	7	-77.2122	-62.7409	-14.471299999999992	1.0	0.571429
CANDIDATE_V29_GEN__C0007__7E84DB22CB439102_8x6b_s917_15f2e26e02c2	V29_GEN__C0007__7E84DB22CB439102	8x6b	917	true	SUPPORTED_AB	SUPPORTED_AB	true	B	B	B	B	7	7	-74.45434	-80.85189000000001	6.39755000000001	0.857143	0.714286
CANDIDATE_V29_GEN__C0007__951E50E70DEF13DC_8x6b_s917_174f9259e872	V29_GEN__C0007__951E50E70DEF13DC	8x6b	917	true	SUPPORTED_AB	OTHER	false	B	E	B	E	10	10	-73.49010000000001	-81.85906	8.368959999999987	0.6	0.7
CANDIDATE_V29_GEN__C0007__9BD680B5C8E614DF_8x6b_s917_175393fd7f9f	V29_GEN__C0007__9BD680B5C8E614DF	8x6b	917	true	SUPPORTED_AB	STRICT_A	false	B	A	B	A	10	10	-69.756	-66.23960000000001	-3.51639999999999	0.6	0.5
CANDIDATE_V29_GEN__C0007__E098EB4C0DF229F2_8x6b_s917_16ebc4254500	V29_GEN__C0007__E098EB4C0DF229F2	8x6b	917	true	STRICT_A	SUPPORTED_AB	false	A	B	A	B	10	9	-87.5667	-81.2113	-6.355400000000003	0.5	0.555556
CANDIDATE_V29_GEN__C0007__FE8230DE77911844_8x6b_s917_0b0f65a54d24	V29_GEN__C0007__FE8230DE77911844	8x6b	917	true	SUPPORTED_AB	SUPPORTED_AB	true	B	B	B	B	7	9	-88.03332	-85.45916000000001	-2.574159999999992	0.714286	0.444444
CANDIDATE_V29_GEN__C0009__19258A3C9C679255_9e6y_s917_0dcc1c85570b	V29_GEN__C0009__19258A3C9C679255	9e6y	917	true	STRICT_A	OTHER	false	A	E	A	B	10	10	-65.29499999999999	-77.5281	12.233100000000007	0.5	0.8
CANDIDATE_V29_GEN__C0009__8ACA905E8B55207F_9e6y_s917_0bfa3c928990	V29_GEN__C0009__8ACA905E8B55207F	9e6y	917	true	SUPPORTED_AB	SUPPORTED_AB	true	B	B	B	B	10	9	-64.262	-49.80362000000001	-14.458379999999991	0.6	0.888889
CANDIDATE_V29_GEN__C0009__9B41AFD570C783B9_9e6y_s917_1f0d31da9d46	V29_GEN__C0009__9B41AFD570C783B9	9e6y	917	true	STRICT_A	STRICT_A	true	A	A	A	A	9	10	-84.34750000000003	-72.45880000000001	-11.888700000000014	0.666667	0.4
CANDIDATE_V29_GEN__C0030__0E8EB2F54823F8BB_8x6b_s917_0e09397a3893	V29_GEN__C0030__0E8EB2F54823F8BB	8x6b	917	true	STRICT_A	STRICT_A	true	A	A	A	A	10	9	-62.43560999999999	-65.73315	3.297540000000005	0.7	0.555556
