asset_id,category,name,status,quantity,unit,path_or_entrypoint,submission_use,claim_boundary,next_action
competition_deadline,competition,初赛第一轮提交截止,FIXED,2026-07-26 18:00 CST,timestamp,user-provided competition rules,submission contract,Hard deadline; 50 ranked sequences plus one-page proposal,Finish freeze before deadline
target_structures,target,PVRIG-PVRL2 reference complexes,READY,2,PDB structures,data/structures/8X6B.pdb; data/structures/9E6Y.pdb,direct design/docking input,"Structural ground truth, not antibody efficacy evidence",Keep chain/numbering reconciliation fixed
hotspot_map,target,PVRIG hotspot set v1,READY,26,residue rows,data/structures/PVRIG_hotspot_set_v1.csv,direct design constraint,21 core + 2 secondary + 3 soft hints,Use soft hints as soft constraints only
mechanism_criteria,mechanism,success-case mechanism criteria,READY_WITH_LIMITS,36,criteria rows,docking/success_case_validation/success_case_mechanism_criteria_matrix.csv,design rationale and pose review,8 mechanism families; literature/structure evidence levels differ,"Use as rationale, not labels"
official_positives,calibration,official Tab5/HR-151 sequence entries,CALIBRATION_ONLY,3,FASTA records,positives/known_positive_antibodies.fasta,novelty exclusion and positive control,Known positives must never be submitted as new designs,Keep out of candidate lane
patent_sequences,calibration,WO2021180205A1 curated VHH/HCVR,CALIBRATION_ONLY,30,FASTA records,机制/data/sequences/PVRIG_case02_vhh_20_30_38_39_151_patent_sequences.fasta,novelty exclusion and family analysis,Known/public patent sequences,Keep out of candidate lane
positive_docking_panel,calibration,patent success validation subset,CALIBRATION_ONLY,11,cases,docking/calibration/patent_success_validation/batch_status.csv,workflow calibration,11/11 structure+docking complete; binary A thresholds are sensitivity-limited,Use continuous/rank evidence and manual pose review
mutant_panel,calibration,positive-family mutant/control panel,CALIBRATION_ONLY,36,cases,docking/calibration/mutant_validation_panel/mutant_panel_status.csv,robustness and false-positive analysis,7 exact positives + 29 near-positive mutants; never submit,Retain as leakage and robustness control
raw_scaffolds,scaffolds,controlled PLAbDab-nano scaffold pool,READY_AS_STARTING_MATERIAL,1965,sequences,scaffolds/raw_vhh_scaffold_pool.fasta,starting molecules only,Source/use caveat retained,Use clean/top200 subsets for design
clean_scaffolds,scaffolds,clean VHH scaffold library,READY_AS_STARTING_MATERIAL,1591,sequences,scaffolds/clean_vhh_scaffold_library.fasta,starting molecules only,Not PVRIG binders,Generate target-conditioned designs
top200_scaffolds,scaffolds,design-ready scaffold shortlist,READY_AS_STARTING_MATERIAL,200,sequences,scaffolds/top_200_vhh_scaffolds_for_design.fasta,preferred generation seeds,Not PVRIG binders,Use multiple scaffold families
unified_index,data,unified model-data index,READY,37711,rows,data/model_data/index_v0_samples.csv,training/research support,Mixed task families and evidence levels,Do not confuse generic data with PVRIG labels
v25_evidence_registry,data,Phase2 V2.5 evidence registry,READY_WITH_LIMITS,10324,rows,data/experiments/phase2_5080_v1/data_splits/evidence_registry_v2_5.csv,model governance,Target decision is DATA_NOT_READY_FOR_TARGET_MODEL,Await real PVRIG assay labels for V2.6
mvp_pool,candidate_pool,MVP mixed pool,NOT_SUBMISSION_READY,547,rows,data/model_data/mvp_candidates_v0.csv,research ranking pool,500 public ZYM sequences + 36 mutants + 11 positives,Do not call whole pool new designs
public_candidate_pool,candidate_pool,public ZYM candidate-only subset,STARTING_MATERIAL_ONLY,500,sequences,data/model_data/mvp_candidates_v0.csv,screening/optimization seeds,Antigen context absent; unmodified public sequences are not de novo designs,Redesign or document as optimized starts
model_top50,candidate_pool,V2.4 model-ranked Top50,NOT_SUBMISSION_READY,50,sequences,node1/competition_qc/pvrig_top50_audit_20260712/top50_model_ranked_public_sequences.fasta,pipeline audit only,"All are unmodified public dataset sequences; model score is relative, not probability",Replace with target-conditioned designs
top50_novelty_pass,candidate_funnel,Top50 novelty pass,PASS,50,sequences,node1/competition_qc/pvrig_top50_audit_20260712/cascade/fast_merged.tsv,pipeline evidence,Novelty pass does not establish design eligibility or binding,Retain as one gate only
top50_full_pass,candidate_funnel,Top50 full sequence-QC pass,PARTIAL,29,sequences,node1/competition_qc/pvrig_top50_audit_20260712/cascade/full_merged.tsv,potential optimization seeds,29 official+novelty hard-pass; all remain review-level,Need at least 50 designed hard-pass candidates
top50_hard_fail,candidate_funnel,Top50 fast hard rejects,REJECTED,21,sequences,node1/competition_qc/pvrig_top50_audit_20260712/cascade/fast_merged.tsv,none,Odd cysteine count and/or hydrophobic-run hard failures,Exclude or redesign
top50_geometry_queue,candidate_funnel,Top50 geometry shortlist,PARTIAL,29,sequences,node1/competition_qc/pvrig_top50_audit_20260712/cascade/geometry_shortlist.tsv,structure/docking queue,Only 4 have imported docking evidence,"Prioritize designed portfolio, not all public seeds"
candidate_docking_imported,candidate_funnel,existing new-candidate docking imports,COMPUTATIONAL_ONLY,4,candidates,node1/competition_qc/pvrig_top50_audit_20260712/cascade/final_blocker_screen.tsv,computational prioritization,2 high + 1 single-baseline + 1 plausible; no wet-lab truth,Use as pipeline proof and redesign seeds
candidate_docking_missing,candidate_funnel,Top50 full-pass candidates without docking,INCOMPLETE,25,candidates,node1/competition_qc/pvrig_top50_audit_20260712/cascade/final_blocker_screen.tsv,none yet,FINAL_INCOMPLETE_NEEDS_DOCKING,Do not spend full docking budget until design pool is replaced
prospective_panel,assay,V2.5 prospective panel,RESEARCH_CONTROL_PANEL,24,constructs,data/experiments/phase2_5080_v1/data_splits/pvrig_v2_5_prospective_assay_panel.csv,future model calibration,5 positives + 10 mutants + 6 public candidates + 3 negative-control candidates,Do not use as 24 submission candidates
wet_measurements,assay,prospective experimental measurements,PENDING,0,measured constructs,data/experiments/phase2_5080_v1/assays/pvrig_v2_5_prospective_v1/candidate_assay_status.csv,future V2.6 truth,No expression/binding/blocking/functional truth recorded,Not a prerequisite for first submission if unavailable
rfantibody,generation,RFantibody production wrappers,READY_FOR_PRODUCTION_DESIGN,3,wrappers,"/data/qlyu/software/RFantibody/bin/{rfdiffusion,proteinmpnn,rf2}",primary target-conditioned generation lane,Smoke-tested only for this project; no PVRIG production design batch yet,Launch multi-family PVRIG design batch
monomer_tools,structure,NanoBodyBuilder2/IgFold/NanoNet,READY,3,tools,node1/NODE1_ANTIBODY_TOOLS_QUICKSTART.md,monomer prediction and cross-check,"Structure quality, not binding/blocking proof",Run on bounded shortlist
complex_tools,structure,HADDOCK3/Boltz-2/Chai-1,READY_WITH_LIMITS,3,tools,node1/NODE1_ANTIBODY_TOOLS_QUICKSTART.md,pose generation/cross-check,Docking geometry is computational evidence only,Use HADDOCK3 canonical lane; others as disagreement checks
large_scale_qc,production,vhh-large-scale-screen,READY,310,seconds for audited Top50,/data/qlyu/software/vhh_eval_tools/bin/vhh-large-scale-screen,production batch screening,"Top50 audited 50 -> 29 in 310 s, excluding docking",Reuse for generated libraries
submission_package,submission,ranked 50 design sequences and official template,MISSING,0,complete packages,not present,required deliverable,"Current Top50 is an audit pool, not submission set",Create final FASTA/XLSX/lineage table
proposal_summary,submission,one-page technical proposal,MISSING,0,documents,not present,required deliverable,Competition attachment/template not found locally,Draft against final frozen workflow
