id	final_verdict	L1_numbering_integrity	L2_vhh_features	L3_developability	L4_structure_stability	length	imgt_ok	kabat_ok	imgt_chain_type	imgt_cdr1_len	imgt_cdr2_len	imgt_cdr3_len	conserved_cys_imgt_H23_H104	fr4	fr2_hallmark_score	fr2_hallmark_residues	fr2_interface_residues	fr2_interface_hydrophobic_count	single_domain_suitability	abnativ_vhh_score	abnativ_fr_vhh_score	sapiens_mean_self_probability	sapiens_num_suggested_mutations	mw	pI	gravy	charge_pH7_4	nglyc_motif_count	nglyc_motif_hits	cys_count	deamidation_NG_NS_NT_count	isomerization_DG_DS_DD_DT_count	acid_cleavage_DP_count	hydrophobic_5_count	polyreactivity_proxy	tnp_L_flag	tnp_L3_flag	tnp_C_flag	tnp_PSH_flag	tnp_PPC_flag	tnp_PNC_flag	tnp_PSH	tnp_PPC	tnp_PNC	igfold_coverage	nanonet_coverage	nanobodybuilder2_coverage	fr_rmsd_igfold_vs_nanobodybuilder2	fr_rmsd_igfold_vs_nanonet	fr_rmsd_nanobodybuilder2_vs_nanonet	cdr3_anchor_ca_distance	L1_reasons	L2_reasons	L3_reasons	L4_reasons
PVRIG-151_HR151_family_151_role_positive_calibration_not_candidate	REVIEW	PASS	PASS	WARN	NOT_RUN	127	True	True	H	10	7	19	C/C	WGQGTQVTVSS	0.75	H37=F;H44=E;H45=R;H47=A	H44=E;H45=R;H47=A	1	good	0.7999012950289495	0.9131250845997512	0.6894917876063663	17	13445.819	5.708	-0.2512	-1.519	0		4	0	4	0	0	low	green	green	green	green	green	green	113.5722	0.0	0.1349										WARN:noncanonical_cys_count=4;WARN:isomerization_DG_DS_DD_DT_count=4:DS@63-64;DT@91-92;DS@101-102;DG@104-105	INFO:structure_modeling_not_requested
PVRIG-20_family_20_role_positive_calibration_not_candidate	REJECT_NOT_VHH_LIKE	PASS	FAIL	SKIPPED	SKIPPED	121	True	True	H	8	7	15	C/C	WGQGTQVTVSS	0.75	H37=F;H44=E;H45=H;H47=G	H44=E;H45=H;H47=G	0	poor	0.8013687907648314	0.9204805156848539	0.6979764428159053	17	13220.421	5.178	-0.4959	-4.449	0		4	2	5	0	0																			FAIL:missing_key_hydrophilic_fr2_substitutions_H44=E_H45=H	INFO:skipped_after_L2_fail	INFO:skipped_after_L2_fail
PVRIG-30_family_30_role_positive_calibration_not_candidate	DEPRIORITIZE_DEVELOPABILITY	PASS	WARN	FAIL	SKIPPED	121	True	True	H	8	7	14	C/C	WGQGTQVTVSS	1.0	H37=F;H44=E;H45=R;H47=G	H44=E;H45=R;H47=G	0	good			0.6682929970123921	25	12946.174	6.095	-0.4521	-1.489	0		4	2	2	0	1	low	green	green	green	green	green	green	91.7572	0.3285	0.0781									WARN:abnativ_vhh_score_not_available	WARN:noncanonical_cys_count=4;WARN:deamidation_NG_NS_NT_count=2:NG@74-75;NS@84-85;WARN:isomerization_DG_DS_DD_DT_count=2:DS@62-63;DT@90-91;FAIL:hydrophobic_run_5_count=1:YILYL@77-81	INFO:skipped_after_L3_fail
PVRIG-38_family_38_role_positive_calibration_not_candidate	REVIEW	PASS	PASS	WARN	NOT_RUN	123	True	True	H	8	8	16	C/C	WGQGTQVTVSS	1.0	H37=F;H44=Q;H45=R;H47=G	H44=Q;H45=R;H47=G	0	good	0.8584878936598215	0.9759400641364943	0.7266780184884745	15	13177.482	8.62	-0.3707	1.484	0		2	2	2	0	0	low	green	green	green	green	green	green	114.3617	0.0457	0.0										WARN:deamidation_NG_NS_NT_count=2:NT@77-78;NS@84-85;WARN:isomerization_DG_DS_DD_DT_count=2:DS@62-63;DT@90-91	INFO:structure_modeling_not_requested
PVRIG-39_family_39_role_positive_calibration_not_candidate	REVIEW	PASS	PASS	WARN	NOT_RUN	120	True	True	H	8	7	14	C/C	WGQGTQVTVSS	1.0	H37=F;H44=E;H45=R;H47=G	H44=E;H45=R;H47=G	0	good	0.8321233240457935	0.9454085676958588	0.7034750329951446	19	13065.359	6.902	-0.4758	-0.486	0		4	2	3	0	0	low	green	green	green	green	green	green	86.4046	0.1853	0.2519										WARN:noncanonical_cys_count=4;WARN:deamidation_NG_NS_NT_count=2:NT@76-77;NS@83-84;WARN:isomerization_DG_DS_DD_DT_count=3:DS@52-53;DG@54-55;DS@89-90	INFO:structure_modeling_not_requested
20H5_family_20_role_positive_calibration_not_candidate	REJECT_NOT_VHH_LIKE	PASS	FAIL	SKIPPED	SKIPPED	121	True	True	H	8	7	15	C/C	WGQGTMVTVSS	0.75	H37=F;H44=E;H45=H;H47=G	H44=E;H45=H;H47=G	0	poor	0.767520738608226	0.8720608355266022	0.7359579639694045	14	13176.474	4.995	-0.3636	-5.336	0		4	2	4	0	0																			FAIL:missing_key_hydrophilic_fr2_substitutions_H44=E_H45=H	INFO:skipped_after_L2_fail	INFO:skipped_after_L2_fail
30H2_family_30_role_positive_calibration_not_candidate	REJECT_NOT_VHH_LIKE	PASS	FAIL	SKIPPED	SKIPPED	121	True	True	H	8	7	14	C/C	WGQGTQVTVSS	0.5	H37=F;H44=G;H45=L;H47=G	H44=G;H45=L;H47=G	1	poor			0.7524396965418719	17	12726.997	5.239	-0.224	-1.444	0		4	2	2	0	0																			WARN:fr2_hallmark_score_borderline=0.5;FAIL:missing_key_hydrophilic_fr2_substitutions_H44=G_H45=L;WARN:abnativ_vhh_score_not_available	INFO:skipped_after_L2_fail	INFO:skipped_after_L2_fail
39H2_family_39_role_positive_calibration_not_candidate	REJECT_NOT_VHH_LIKE	PASS	FAIL	SKIPPED	SKIPPED	120	True	True	H	8	7	14	C/C	WGQGTMVTVSS	0.5	H37=F;H44=G;H45=L;H47=G	H44=G;H45=L;H47=G	1	poor	0.7990440813232863	0.8965621728244336	0.7799669867381454	11	12896.327	5.748	-0.2042	-1.409	0		4	2	3	0	0																			WARN:fr2_hallmark_score_borderline=0.5;FAIL:missing_key_hydrophilic_fr2_substitutions_H44=G_H45=L	INFO:skipped_after_L2_fail	INFO:skipped_after_L2_fail
39H4_family_39_role_positive_calibration_not_candidate	REJECT_NOT_VHH_LIKE	PASS	FAIL	SKIPPED	SKIPPED	120	True	True	H	8	7	14	C/C	WGQGTMVTVSS	0.5	H37=F;H44=G;H45=L;H47=G	H44=G;H45=L;H47=G	1	poor	0.7937899946961265	0.8698732392537791	0.7586639010968308	14	12907.306	5.569	-0.2275	-2.375	0		4	2	3	0	0																			WARN:fr2_hallmark_score_borderline=0.5;FAIL:missing_key_hydrophilic_fr2_substitutions_H44=G_H45=L	INFO:skipped_after_L2_fail	INFO:skipped_after_L2_fail
151H7_family_151_role_positive_calibration_not_candidate	REVIEW	PASS	PASS	WARN	NOT_RUN	127	True	True	H	10	7	19	C/C	WGQGTMVTVSS	0.75	H37=F;H44=E;H45=R;H47=A	H44=E;H45=R;H47=A	1	good	0.7570888536432143	0.8734908298081216	0.7095873019086035	15	13458.904	6.749	-0.1701	-0.52	0		4	1	4	0	0	low	green	green	green	green	green	green	125.7703	0.0	0.1453										WARN:noncanonical_cys_count=4;WARN:deamidation_NG_NS_NT_count=1:NS@85-86;WARN:isomerization_DG_DS_DD_DT_count=4:DS@63-64;DT@91-92;DS@101-102;DG@104-105	INFO:structure_modeling_not_requested
